match,artist,external,points,Genre,followingCount,Film,playcount,id,Story,thumbnailUrl,department,displayName,Budget,likedCount,Rotten Tomatoes,visible,enabled,level,name,Profit,followerCount,Worldwide Gross,externalContributor,likeCount
162,Philippe.VanNuijs,false,20707,Engineering,161,Philippe.VanNuijs,162,3554,Engineering,https://brewspace.jiveland.com/api/core/v3/people/3554/avatar,Engineering,Philippe Van Nuijs,20707,92,70,true,true,Level 5,Philippe.VanNuijs,92,140,92,false,70
26,brent.halsey,false,3460,Engineering,49,brent.halsey,26,3252,Engineering,https://brewspace.jiveland.com/api/core/v3/people/3252/avatar,Engineering,Brent Halsey,3460,16,10,true,true,Level 3,brent.halsey,16,55,16,false,10
30,dan.attali,false,2605,Engineering,22,dan.attali,30,5338,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5338/avatar,Engineering,Dan Attali,2605,0,30,true,true,Level 3,dan.attali,0,22,0,false,30
177,kevin,false,29146,Support,35,kevin,177,2024,Support,https://brewspace.jiveland.com/api/core/v3/people/2024/avatar,Support,Kevin Williams,29146,82,95,true,true,Level 6,kevin,82,309,82,false,95
122,thomas.jung,false,8432,Professional Services,117,thomas.jung,122,4446,Professional Services,https://brewspace.jiveland.com/api/core/v3/people/4446/avatar,Professional Services,Thomas Jung,8432,38,84,true,true,Level 4,thomas.jung,38,74,38,false,84
800,max.calderon,false,33688,Sales Management,643,max.calderon,800,4683,Sales Management,https://brewspace.jiveland.com/api/core/v3/people/4683/avatar,Sales Management,Max Calderon,33688,216,584,true,true,Level 6,max.calderon,216,344,216,false,584
66,nathan.miller,false,6162,Hosting,33,nathan.miller,66,4481,Hosting,https://brewspace.jiveland.com/api/core/v3/people/4481/avatar,Hosting,Nathan Miller,6162,53,13,true,true,Level 4,nathan.miller,53,52,53,false,13
67,freya.haworth,false,6370,Support,69,freya.haworth,67,5575,Support,https://brewspace.jiveland.com/api/core/v3/people/5575/avatar,Support,Freya Haworth,6370,53,14,true,true,Level 4,freya.haworth,53,62,53,false,14
27,hod.kashtan,false,6885,Engineering,35,hod.kashtan,27,4007,Engineering,https://brewspace.jiveland.com/api/core/v3/people/4007/avatar,Engineering,Hod Kashtan,6885,17,10,true,true,Level 4,hod.kashtan,17,36,17,false,10
6,wyeth.shamp,false,699,Engineering,14,wyeth.shamp,6,5923,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5923/avatar,Engineering,Wyeth Shamp,699,5,1,true,true,Level 2,wyeth.shamp,5,14,5,false,1
74,elaine.lau,false,7663,Finance,40,elaine.lau,74,5721,Finance,https://brewspace.jiveland.com/api/core/v3/people/5721/avatar,Finance,Elaine Lau,7663,42,32,true,true,Level 4,elaine.lau,42,39,42,false,32
553,nick.church,false,27202,Support,103,nick.church,553,5171,Support,https://brewspace.jiveland.com/api/core/v3/people/5171/avatar,Support,Nick Church,27202,240,313,true,true,Level 6,nick.church,240,89,240,false,313
78,mona.copenhaver,false,4566,Finance,71,mona.copenhaver,78,5473,Finance,https://brewspace.jiveland.com/api/core/v3/people/5473/avatar,Finance,Mona Copenhaver,4566,22,56,true,true,Level 3,mona.copenhaver,22,49,22,false,56
13,christian.stein,false,9458,Sales,61,christian.stein,13,4748,Sales,https://brewspace.jiveland.com/api/core/v3/people/4748/avatar,Sales,Christian Stein,9458,9,4,true,true,Level 4,christian.stein,9,46,9,false,4
92,christina.guida,false,6155,Hosting,79,christina.guida,92,5675,Hosting,https://brewspace.jiveland.com/api/core/v3/people/5675/avatar,Hosting,Christina Guida,6155,23,69,true,true,Level 4,christina.guida,23,62,23,false,69
79,shailesh.samant,false,4454,Support,129,shailesh.samant,79,3452,Support,https://brewspace.jiveland.com/api/core/v3/people/3452/avatar,Support,Shailesh Samant,4454,34,45,true,true,Level 3,shailesh.samant,34,95,34,false,45
199,david.tweet,false,11797,Engineering,110,david.tweet,199,3250,Engineering,https://brewspace.jiveland.com/api/core/v3/people/3250/avatar,Engineering,David Tweet,11797,95,104,true,true,Level 4,david.tweet,95,116,95,false,104
23,linh.tran,false,2356,Engineering,27,linh.tran,23,5236,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5236/avatar,Engineering,Linh Tran,2356,5,18,true,true,Level 3,linh.tran,5,28,5,false,18
6,ariel.cohen,false,13669,Product Management,90,ariel.cohen,6,3517,Product Management,https://brewspace.jiveland.com/api/core/v3/people/3517/avatar,Product Management,Ariel Cohen,13669,5,1,true,true,Level 5,ariel.cohen,5,99,5,false,1
1,mike.tomita,false,2509,Marketing,49,mike.tomita,1,4107,Marketing,https://brewspace.jiveland.com/api/core/v3/people/avatar/deactivated,Marketing,Mike Tomita,2509,1,0,true,false,Level 3,mike.tomita,1,60,1,false,0
9,kate.johnson,false,5256,Finance,116,kate.johnson,9,2728,Finance,https://brewspace.jiveland.com/api/core/v3/people/2728/avatar,Finance,Kate Johnson,5256,9,0,true,true,Level 4,kate.johnson,9,122,9,false,0
64,jerome.miglino,false,1797,Engineering,53,jerome.miglino,64,5336,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5336/avatar,Engineering,Jerome Miglino,1797,39,25,true,true,Level 2,jerome.miglino,39,31,39,false,25
2,ellen.westcott,false,898,Marketing,7,ellen.westcott,2,5875,Marketing,https://brewspace.jiveland.com/api/core/v3/people/5875/avatar,Marketing,Ellen Westcott,898,0,2,true,true,Level 2,ellen.westcott,0,7,0,false,2
289,heather.pamplin,false,10781,Professional Services,113,heather.pamplin,289,5471,Professional Services,https://brewspace.jiveland.com/api/core/v3/people/5471/avatar,Professional Services,Heather Pamplin,10781,129,160,true,true,Level 4,heather.pamplin,129,81,129,false,160
67,james.ellis,false,4905,Inside Sales - US,34,james.ellis,67,5673,Inside Sales - US,https://brewspace.jiveland.com/api/core/v3/people/5673/avatar,Inside Sales - US,James Ellis,4905,38,29,true,true,Level 3,james.ellis,38,35,38,false,29
3,chuck.crawley,false,2561,Field Sales,30,chuck.crawley,3,3919,Field Sales,https://brewspace.jiveland.com/api/core/v3/people/3919/avatar,Field Sales,Chuck Crawley,2561,2,1,true,true,Level 3,chuck.crawley,2,62,2,false,1
3,steve.perez,false,4382,Sales,93,steve.perez,3,4040,Sales,https://brewspace.jiveland.com/api/core/v3/people/4040/avatar,Sales,Steve Perez,4382,2,1,true,true,Level 3,steve.perez,2,82,2,false,1
6,johann.steinbrecher,false,2170,Engineering,11,johann.steinbrecher,6,5638,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5638/avatar,Engineering,Johann Steinbrecher,2170,2,4,true,true,Level 3,johann.steinbrecher,2,12,2,false,4
140,cyrille.harnist,false,9440,Inside Sales,90,cyrille.harnist,140,5188,Inside Sales,https://brewspace.jiveland.com/api/core/v3/people/5188/avatar,Inside Sales,Cyrille Harnist,9440,39,101,true,true,Level 4,cyrille.harnist,39,69,39,false,101
10,david.baldry,false,4086,Sales,26,david.baldry,10,5738,Sales,https://brewspace.jiveland.com/api/core/v3/people/5738/avatar,Sales,David Baldry,4086,8,2,true,true,Level 3,david.baldry,8,26,8,false,2
23,marcos.remolgao,false,2593,Engineering,24,marcos.remolgao,23,2928,Engineering,https://brewspace.jiveland.com/api/core/v3/people/2928/avatar,Engineering,Marcos Remolgao,2593,6,17,true,true,Level 3,marcos.remolgao,6,34,6,false,17
73,rob.derstadt,false,6207,Engineering,143,rob.derstadt,73,3550,Engineering,https://brewspace.jiveland.com/api/core/v3/people/3550/avatar,Engineering,Rob Derstadt,6207,56,17,true,true,Level 4,rob.derstadt,56,111,56,false,17
38,tim.dooher,false,4880,Support,58,tim.dooher,38,4544,Support,https://brewspace.jiveland.com/api/core/v3/people/4544/avatar,Support,Tim Dooher,4880,32,6,true,true,Level 3,tim.dooher,32,50,32,false,6
80,org.chart,false,5264,Engineering,1,org.chart,80,5571,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5571/avatar,Engineering,Org Chart,5264,80,0,true,true,Level 4,org.chart,80,83,80,false,0
130,sydney.sloan,false,18431,Marketing,37,sydney.sloan,130,4598,Marketing,https://brewspace.jiveland.com/api/core/v3/people/4598/avatar,Marketing,Sydney Sloan,18431,106,24,true,true,Level 5,sydney.sloan,106,159,106,false,24
13,ismael.henchi,false,670,Engineering,38,ismael.henchi,13,5334,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5334/avatar,Engineering,Ismael Henchi,670,4,9,true,true,Level 2,ismael.henchi,4,27,4,false,9
2,michelle.soule,false,242,Finance,5,michelle.soule,2,6227,Finance,https://brewspace.jiveland.com/api/core/v3/people/6227/avatar,Finance,Michelle Soule,242,2,0,true,true,Level 1,michelle.soule,2,10,2,false,0
10,gadi.michaeli,false,3360,Engineering,58,gadi.michaeli,10,5434,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5434/avatar,Engineering,Gadi Michaeli,3360,10,0,true,true,Level 3,gadi.michaeli,10,32,10,false,0
404,curtis,false,60025,Product Management,251,curtis,404,2120,Product Management,https://brewspace.jiveland.com/api/core/v3/people/2120/avatar,Product Management,Curtis Gross,60025,240,164,true,true,Level 7,curtis,240,300,240,false,164
73,beju.ekperigin,false,4089,Sales,66,beju.ekperigin,73,5671,Sales,https://brewspace.jiveland.com/api/core/v3/people/5671/avatar,Sales,Beju Ekperigin,4089,18,55,true,true,Level 3,beju.ekperigin,18,37,18,false,55
27,sam.meder,false,5602,Engineering,164,sam.meder,27,3165,Engineering,https://brewspace.jiveland.com/api/core/v3/people/3165/avatar,Engineering,Sam Meder,5602,14,13,true,true,Level 4,sam.meder,14,145,14,false,13
43,shaun.duncan,false,5235,Corporate,53,shaun.duncan,43,4003,Corporate,https://brewspace.jiveland.com/api/core/v3/people/4003/avatar,Corporate,Shaun Duncan,5235,42,1,true,true,Level 4,shaun.duncan,42,51,42,false,1
